Trade Date,Previous Close,Low Vol Point,High Vol Point,Call Gamma,Put Gamma,Call Delta,Put Delta,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move
2/9/2026,690.6,517,681,1993199399.026319,'-5134310297.930556,'-44319703854.96393,24073584282.40299,0.07118240084471725,0.005364267178763009,2026-03-19,2026-09-17,1503849,2238515,0.3611479609987439,0.26953136342619993,1.8315619471426592,0.3882117136219253,1.841009769673567,'-0.2728583611751559,'-0.3038328191956199,0.1286061011205416,0.1469191754518118,0.14457122478149637,0.14257068081741886,0.17255717255717257,6.404240520546691
2/6/2026,677.44,850,688,1177953186.8129315,'-4452328343.947657,'-49151486635.25425,30239069679.425037,0.08038871613906663,0.012214953331235389,2026-03-19,2026-09-17,1901483,2532943,0.39981425024572925,0.33286576129032514,1.86014203344379,0.264570152022638,1.6254298546987842,'-0.08382306561312224,'-0.2894545960691205,0.11140698298236099,0.18370779223923442,0.2509642457483398,0.09057710926526322,0.23333333333333336,7.855267738089187
2/5/2026,686.12,850,695,1073339926.6484289,'-4388916433.440448,'-46895756330.61844,26318497014.712585,0.050696480165709185,0.005052102635684404,2026-03-19,2026-09-17,1647664,2348405,0.36075498402586936,0.238885967284178,1.9440115602853847,0.24455692946676671,1.7818554115914271,'-0.18363494715504164,'-0.2997089583568399,0.10543474444347309,0.15833138715421627,0.17757544687410523,0.06171599200444304,0.18997912317327767,6.856929328678335
2/4/2026,689.46,507,696,308192877.6761561,'-4247316954.2713013,'-46417877635.36989,24045584408.379112,0.08288347219816453,0.007258647752293173,2026-02-05,2026-09-17,1997383,2500788,0.38722218022282157,0.2669734499685699,1.9236730868646523,0.07256177982343015,1.9304117066580737,'-0.1721391037539299,'-0.2910906550195186,0.10647414268450636,0.1520298227811454,0.1593512642596272,0.06392080189884718,0.22384937238493724,6.6160753401936825
2/3/2026,695.46,850,690,2015507583.4116206,'-5967012486.037564,'-41691516801.462036,23839052764.80787,0.11952570475686426,0.006996345932768386,2026-02-02,2026-09-17,1048870,1886694,0.4234642996748882,0.32752158007604837,1.961611203396677,0.33777499010229695,1.7488747230346613,'-0.26737051471427203,'-0.27210146989560774,0.10384814850125758,0.1369365057678317,0.07952950703486361,0.05203394426377539,0.436,6.011100315678611
2/2/2026,691.97,505,677,1989233263.5328374,'-4665155001.958043,'-43329969916.63441,24232860237.432423,0.06314051852834122,0.0052264660840132164,2026-03-19,2026-09-17,1408518,2169239,0.4012792168790175,0.28611646757226844,1.9509755270747566,0.4264023944966294,1.7880666785550448,'-0.2576686939844162,'-0.30064015097546354,0.1041143865110154,0.1468766032922961,0.1444481057013165,0.05610243455127897,0.2533333333333333,6.415085727461348
1/30/2026,693.97,534,702,1556506059.215024,'-4774088315.845435,'-43345500719.08635,22927140063.97079,0.16495882056212802,0.05938674072736951,2026-01-29,2026-09-17,1902485,2824114,0.48542406379025327,0.3890965449695019,2.038872709212016,0.3260321041923132,1.8905759984954384,'-0.2076740597507292,'-0.2818456491687306,0.10364448167239318,0.14033183609546726,0.12552057826480306,0.062331558252055844,0.3110367892976589,6.146947187727792
1/29/2026,695.43,531,703,1320756893.440661,'-4999334411.778117,'-42901567143.45372,23022251823.93146,0.07355773545788158,0.005143926233214056,2026-01-28,2026-09-17,1175501,1537849,0.39567724740344756,0.2757930069857314,2.0361434473218063,0.26418654657888874,1.863482663275269,'-0.23848720788603692,'-0.2512225241384104,0.10421589420442469,0.13584853244374812,0.11255482252100038,0.0704157833988314,0.4026845637583893,5.9630843222467815
1/28/2026,695.49,527,687,2273205268.8766923,'-5637432670.158404,'-41931588976.96139,23200212432.83049,0.07953482821102811,0.00588066098863784,2026-01-29,2026-09-17,978552,1704889,0.43271486849957896,0.2940631325558438,2.062234402975204,0.403234131896571,1.807379527164339,'-0.2154539754226289,'-0.24905758447796741,0.10691079780711883,0.13229503102139695,0.10227806344852634,0.08143145161065218,0.4074074074074074,5.807604060157254
1/27/2026,692.71,526,692,1864883613.4132347,'-6671651753.065055,'-43269294271.13922,23818387177.933567,0.15615740458278093,0.008882089475579847,2026-01-26,2026-09-17,1001460,2030257,0.45168653765502365,0.32499383083028405,2.0171294451180652,0.27952352467385305,1.8166340965028,'-0.28114376998039603,'-0.23729513128826815,0.10895574463565999,0.13238021894440738,0.06581369269495656,0.09132972093993746,0.5473251028806585,5.788114717224039
1/26/2026,689.18,521,693,1486781036.3325365,'-5811335475.345974,'-45258664262.726234,24129957958.280373,0.11884280776454391,0.007125510716572409,2026-01-25,2026-09-17,1143392,1797844,0.4403030631664381,0.3375315099641571,1.9442446321262028,0.2558415432459648,1.8756213475786596,'-0.2676085563918303,'-0.2578228639550813,0.10525065000014887,0.13188112064789967,0.10108103080931753,0.10037065079202284,0.3932203389830508,5.736907828575364
1/23/2026,688.98,546,691,560584516.4095066,'-6388015299.772451,'-46230248179.06966,23910802514.214344,0.22299515725144453,0.018229331706356586,2026-01-22,2026-09-17,1370954,1837418,0.5446229413970126,0.4053895194234518,1.9627857054145539,0.08775566276891592,1.933446112968688,'-0.1778168073535923,'-0.21697752108568508,0.10642950231028084,0.13408237489137628,0.10744707849827628,0.11471147386350658,0.5408163265306122,5.830971069409862
1/22/2026,685.4,543,692,641191243.4004438,'-4743545555.433208,'-47566932049.48907,24552847769.74479,0.0839098280587359,0.006099801838562543,2026-01-22,2026-09-17,272101,302731,0.28232898813308294,0.21234363180513394,1.9231204882078792,0.1351713050728542,1.937328512585141,'-0.1389685748989265,'-0.258867711512369,0.1070538219195878,0.14191101760048752,0.13008758582436733,0.12655293030433604,0.38907849829351543,6.139355643714836
1/21/2026,677.61,532,686,'-42323888.44942844,'-4491991265.387284,'-50899692384.98419,29429363430.140778,0.09697291001179605,0.01088759154071635,2026-01-20,2026-09-17,1948467,2865921,0.35189561845286577,0.22250089936184564,1.9063944386797262,0.009422077192258169,1.729554650606342,'-0.09980955507732163,'-0.3175359574567459,0.10146750013436279,0.17030996698041287,0.17999381396096503,0.11900691197593453,0.23140495867768596,7.284209854547596
1/20/2026,691.72,529,689,1169129537.2760198,'-5113893539.6890545,'-44790755194.35198,23826175830.14222,0.07371089843696076,0.004629100789924851,2026-01-22,2026-09-17,1099168,1623862,0.4316119100992751,0.33725957008662066,1.9578564851875173,0.22861827846089805,1.87989694668868,'-0.22447504390902231,'-0.2557726701696672,0.08070395845238051,0.12861233754327903,0.09162767975250732,0.014965991908348542,0.3917525773195877,5.615333341250835
1/16/2026,692.17,536,693,115416358.04885378,'-6622848095.151751,'-44572500171.32187,24310402524.117603,0.2639640627904778,0.09329951181944028,2026-01-15,2026-09-17,1411738,1899719,0.5511298838736366,0.4520763333945705,1.9485292503968574,0.017426997628609997,1.8334743790072114,'-0.13972092093161154,'-0.23700741561191066,0.08151481596515492,0.12972415648912886,0.09484307045612235,0.020226094053973912,0.46896551724137936,5.667561029923645
1/15/2026,690.44,870,691,'-671173281.0093412,'-6080828633.979436,'-46170912278.21846,24338593281.321365,0.0737095373632902,0.0058571136660405575,2026-01-15,2026-09-17,1784103,2256839,0.37584601337478835,0.23997768560362526,1.933738725482409,0.11037529938910806,1.8970246860426518,'-0.14243940559846885,'-0.25162832225984794,0.08165051033057356,0.13609850138233817,0.11327773500988644,0.025678597131984855,0.39792387543252594,5.931190386569563
1/14/2026,693.75,526,694,'-198407680.43491477,'-6324715369.869665,'-44433861657.84245,23742325743.32878,0.09530870319777393,0.006076030405008343,2026-01-15,2026-09-17,1442266,1931623,0.4399888786118511,0.2947091642623845,1.9287072449151579,0.031370214915932795,1.871504170998398,'-0.23001356481100382,'-0.2522856988675417,0.08133541113080876,0.1330084584240928,0.10434130211422393,0.022595482461197774,0.39583333333333326,5.824314715124307
1/13/2026,695.16,521,693,364972872.20059043,'-7141085108.866118,'-43607810517.730125,23048864936.251793,0.14714752971983752,0.008663299586387438,2026-01-12,2026-09-17,1102836,1415467,0.44267597358084065,0.37234848993300446,1.914140476624562,0.051108881442604996,1.8919721486650192,'-0.19574613000601915,'-0.1954422468905835,0.08282123273492095,0.12566235805809042,0.04559088051282149,0.02666859265961265,0.6570247933884298,5.513819657114318
1/12/2026,693.99,519,697,811318324.1067394,'-6270207303.745535,'-43703137017.61893,22046399696.36289,0.13385164311276046,0.006972689271838815,2026-01-11,2026-09-17,1346354,2131385,0.42888200280164057,0.322978720409499,1.9193893992250266,0.1293925838180972,1.9823253510562482,'-0.21274292385948196,'-0.20401021035599098,0.09105701675048411,0.11978925424550291,0.06611124102047457,0.03347608427716825,0.5909090909090908,5.2472728999455
