Trade Date,Previous Close,Low Vol Point,High Vol Point,Call Gamma,Put Gamma,Call Delta,Put Delta,Next Exp Gamma,Next Exp Delta,Top Gamma Exp,Top Delta Exp,Call Volume,Put Volume,Next Exp Call Vol,Next Exp Put Vol,Put/Call OI Ratio,Gamma Ratio,Delta Ratio,NE Skew,Skew,1 M RV,1 M IV,IV Rank,Garch Rank,Skew Rank,Options Implied Move
2/9/2026,50.59,35,63,'-10048537.768023217,2055858.2875256822,'-317036586.6984699,'-23592563.995786704,0.09102163744250377,0.018773657904825602,2026-03-19,2027-01-14,219555,145534,0.36506114640978343,0.4567867302486017,0.8165389648572786,4.887757988473555,13.437987781026601,0.057246326457473136,0.044958103542412156,1.0454480167100668,0.6288473493232218,0.5491800457571272,0.10443931720170793,0.2785862785862786,2.0080406111381555
2/6/2026,48.26,33,62,'-10102938.567354707,5493423.756936915,'-273089691.5586218,'-64338459.08345867,0.14380121822584047,0.023478072706429133,2026-03-19,2027-01-14,310618,165125,0.34958373307406526,0.4173868281604845,0.8059560225667312,1.8390968937353591,4.244579299053073,'-0.011627714183714652,0.1057102834615154,1.0377504503695132,0.6452494021838403,0.5757585536635513,0.03364135289636706,0.6854166666666667,1.9655201760646424
2/5/2026,48.59,34,61,'-12340860.522614388,6018004.794694325,'-323835733.38606834,'-81123241.96353419,0.13751354480457678,0.027116243244205362,2026-04-16,2027-01-14,262160,144070,0.34958803783948733,0.36844589435690983,0.8083675052611413,2.0506564789537065,3.991898320972381,'-0.0026193857371663858,0.027677356857212867,1.03680058684273,0.669159302946531,0.6145030627724576,0.050375331615591844,0.21294363256784968,2.052291266185189
2/4/2026,49.25,34,63,'-11182623.81278489,4316471.809765579,'-363938641.8356572,'-71728682.89235938,0.11215741265525014,0.02529072501627264,2026-04-16,2027-01-14,287084,123179,0.38922754315810004,0.4562384822088181,0.8077017995959365,2.5906861681536615,5.073823011385929,0.06379556656774711,0.10851271834371243,1.059113450962774,0.6333461052257745,0.5564700002732572,0.07880187412504484,0.698744769874477,1.9688377000801232
2/3/2026,48.8,34,60,'-13807589.707545089,4513990.929704187,'-399296562.0691718,'-75769242.38371262,0.10015567279929669,0.024190518869478466,2026-03-19,2027-01-14,383166,195284,0.38386234686793713,0.42569283709878947,0.8008707200265027,3.0588430332645644,5.269903057061644,0.11236050123313787,0.1535286284962052,1.0866136619060316,0.5963231535133316,0.40800011283884263,0.2164822644916107,0.8240000000000001,1.8368093095657754
2/2/2026,46.47,32,57,'-15690186.017493293,7442306.7565372875,'-331044392.4729424,'-126890857.96182235,0.08067411019505394,0.019342458062730158,2026-03-19,2027-01-14,365763,145858,0.24004068208101967,0.4153286072755694,0.8047817968256774,2.108242313945351,2.60889080419445,0.0329853403500427,0.07169085310852916,1.089045714881577,0.5647270899662478,0.34780415362053846,0.21819236126985062,0.35,1.6564329906413895
1/30/2026,48.67,34,60,'-19588168.92090392,3649315.8600791725,'-857567479.0370405,'-112210179.6063993,0.23585974477220234,0.06027604685966909,2026-03-19,2027-01-14,355157,180633,0.3840188986842439,0.5414071625893386,0.800487097378464,5.367627706657037,7.64251052841318,0.15836334097750043,0.11007916201149318,1.0679924484734336,0.5770805633472945,0.3713396544509427,0.2582059831211854,0.6053511705685619,1.7728025637892333
1/29/2026,48.76,34,59,'-15586864.234926037,2140736.4325145325,'-851675523.7454408,'-86370305.48142634,0.20138675422748692,0.060059173070638815,2026-03-19,2027-01-14,897024,441423,0.3920931881421233,0.4943059151879263,0.8178666879560151,7.281075800918442,9.86074460427364,0.18748578967283594,0.15971978533847497,1.0663672945916265,0.5682487407578563,0.35451350673716553,0.49300833098376057,0.8724832214765101,1.7488991099762086
1/28/2026,43.93,32,58,'-21345611.551563982,10960520.496601675,'-765569335.853339,'-229335802.22469917,0.14049360851317721,0.04449560243329402,2026-03-19,2027-01-14,447287,194540,0.3395605058944257,0.4622802508481546,0.7998270854963272,1.9474998069829093,3.338202445613998,0.08515596152517826,0.12750267237360308,1.040769522288151,0.5146441897961183,0.25238757706874965,0.3213930398494747,0.7171717171717172,1.42702261299902
1/27/2026,42.49,32,57,'-19025932.201596532,10832354.399122775,'-602110912.9178379,'-257115615.25924248,0.19193860501666046,0.0644996064601352,2026-06-17,2027-01-14,542772,346052,0.40942237256159125,0.4275946967507773,0.8074982225122186,1.756398609256847,2.341790529955741,0.06871438118385502,0.0793858740253495,1.0670388981302692,0.514095624402736,0.2513424652307069,0.5532239219524689,0.3539094650205762,1.378774416516585
1/26/2026,45.07,32,59,'-16958680.867849972,7801234.364919713,'-647437146.8897309,'-171438621.54409644,0.18417977094192672,0.052358752858307066,2026-06-17,2027-01-14,990238,515012,0.2952472031976151,0.3925015339448401,0.8151265810578522,2.1738458395903484,3.7764952906087204,0.08908865606315859,0.0958006144860532,1.0065229016248696,0.5281050254885903,0.2780327943971951,0.8971973356189212,0.5152542372881356,1.5023476297904919
1/23/2026,54.33,38,55,'-14600251.304145895,'-5818797.456676143,'-941002628.1429079,35011945.04434628,0.20478552350280835,0.0537417460917081,2026-03-19,2027-01-14,637889,533927,0.48058204483852207,0.6051669984848116,0.8172560381265797,2.5091526922619436,26.876616736117626,0.0651752016337726,0.08731575204467157,0.6649398427920619,0.6842114928401407,0.5754425818032829,0.20813310654550413,0.4591836734693877,2.3463492019191343
1/22/2026,54.25,37,56,'-11655645.852410462,'-1551607.296381367,'-1010482555.458915,'-14602411.154815825,0.1649676522349789,0.044614449898618805,2026-03-19,2026-03-19,200852,78081,0.329660645649533,0.43379311228083656,0.791830247684399,7.5119818523627515,69.1997057708967,0.07407741638288684,0.08097090591704939,0.6728641296907286,0.7478380156070392,0.6966620990374863,0.46472410526323255,0.4232081911262799,2.560765785942175
1/21/2026,48.6,34,54,'-14693994.021392433,5347361.674015102,'-927508392.122977,'-111900505.55104487,0.1473169048967073,0.03887529300125396,2026-03-19,2027-01-14,427622,204426,0.3273405016580064,0.455264985862855,0.7863714076916855,2.7478960498962004,8.288688130187955,0.05136129749969016,0.10931645186826028,0.5951400460631207,0.680354010831398,0.5680934122037982,0.1160450485414137,0.5661157024793388,2.0870545304807133
1/20/2026,46.96,32,54,'-14303718.845232287,6023335.904321032,'-843303377.3157414,'-117256428.45506275,0.1290875656424566,0.0372766451069817,2026-03-19,2027-01-14,238913,116539,0.28455546579717306,0.33477205055818227,0.7953976902659206,2.3747171123182853,7.191958585357461,0.10691608754675347,0.09958938536199524,0.5831825178306538,0.6208803311352947,0.4547857784153626,0.09360807058387029,0.5532646048109966,1.8403421290231297
1/16/2026,48.32,33,61,'-238798.57377781335,2319182.7677921513,587740070.7973934,'-96522672.90102492,0.37376728629021755,0.3979454819704902,2026-03-19,2027-01-14,528939,281396,0.4314334923308737,0.4682724701132923,0.756309250903225,0.10296669029028196,6.089140024127456,0.12473391374465277,0.17697080277647764,0.5680978446290238,0.6618715244870385,0.532881082902713,0.08577376112952129,0.903448275862069,2.0186601062433693
1/15/2026,48.72,34,61,'-4071854.5201527053,'-245693.85394737893,514135685.71816593,'-85871898.36466557,0.4142732015030672,0.39974673881954853,2026-03-19,2026-03-19,476440,210659,0.3651876416757619,0.5058364465795433,0.75489684587107,16.572879031092036,5.98724024400655,0.12786816363599351,0.12059856528076378,0.5679635259718022,0.6986637700093155,0.6029766664145149,0.17158267140065275,0.6643598615916955,2.148513468083939
1/14/2026,47.29,33,61,'-469651.6584018969,153369.55157727608,451975699.1988447,'-88827625.63497254,0.4236439756557797,0.4081374399273101,2026-03-19,2027-01-14,603389,278626,0.4712034856452471,0.4685887174922656,0.7452629985188651,3.062222283184158,5.088233485562133,0.21641049815201308,0.13691798815419878,0.5798311858558972,0.6973096446715424,0.6003968237234282,0.2929249000766164,0.7604166666666665,2.0814096507301167
1/13/2026,44.06,30,59,625664.2087579671,1337630.7049028443,380734291.4974698,'-117485317.85584737,0.42503555108500074,0.41005843020121724,2026-03-19,2027-01-14,246686,164524,0.5181972223798675,0.4693783277819649,0.7252676197466301,0.4677406151523793,3.2406967819129937,0.11435483139015927,0.1570145699290259,0.5491568427233482,0.6520216653890304,0.5141153997762002,0.22458634281331236,0.8347107438016529,1.8132976441987427
1/12/2026,45.51,31,61,'-4345854.43539871,'-810176.8856615406,392427988.77590173,'-80729473.70712495,0.41402195879364495,0.4141070986623921,2026-03-19,2027-01-14,642860,307688,0.4657483744516691,0.5183400067600946,0.7219498555177246,5.364080995534886,4.861024985739095,0.20234336721660537,0.14289960153981004,0.5506700331790323,0.6759468974604819,0.5596970999115791,0.41678376527391886,0.7902097902097901,1.9416993816465649
